"SSN","PC1","PC2","PC3","PC4","PC5"
"sentiuqp60tfu41",-0.0852125251701093,0.400714784041421,-0.239194617405496,0.181465509180474,-0.190814602356617
"icr173256",0.0342511464617891,0.552816153999752,0.100305291508952,0.114718519944626,0.220628536396882
"2340_2919",1.00097764328547,-0.349321249994422,-0.0363707504880646,-0.092440657774238,-0.0494717628138678
"121036xd0",-0.0608838462579593,0.00423489183232437,-0.382356835479583,0.245228386291368,0.0514467143235631
"icr147394",0.55579368991131,0.225117533910857,-0.0318314711440326,-0.0612693102147232,-0.0035295242685505
"icr164840",-1.60332217918562,-0.295222179316589,-0.195776011710812,-0.0473972458803848,-0.100293467872114
"icr102609",0.563442680551973,-0.153400660056117,0.133278469765333,0.0134358633241363,-0.00521606273895655
"sentiwbo97xiy23",-0.0334744885437654,0.404841185525905,0.3533036603419,0.0618758190855133,0.0844303607716593
"1176_4368",-0.105513515261704,-0.0448323919547339,0.214520414052275,0.0579224376904828,-0.269345725725046
"2452_3231",0.139661930702779,-0.0299310134405556,-0.245745531046883,-0.0944879729463776,-0.00194790768994726
"icr043458",0.595042726846486,0.539153198244197,-0.601621970341907,0.240155844295064,-0.198763023991328
"sentizgl80kua65",0.0560993071610993,0.549198638684333,0.153963051660841,0.0581613861781042,-0.253354127036282
"icr143296",0.737687913043686,0.202767890449745,-0.58461315707552,0.317449945862007,-0.0933306816826367
"sentiewj16qbx31",-0.0526801385919857,0.258057464216239,0.107232753528688,0.0956016847033626,-0.141520965929395
"icr175286",-1.55185285783198,-0.160504085287749,-0.320909063784716,0.0394816764881382,0.184627996116319
"wa077687",0.016879193185391,-0.034945147923317,0.207868801204905,-0.0690424291636545,0.0156976798568984
"icr174616",0.164727933816415,0.332369724247482,0.389023495490213,0.157643710373826,-0.0561687974855454
"wa013573",-0.898010133831037,-0.191207730042958,0.0504767951220075,-0.0495200084066785,-0.104977878828615
"wa072115",-0.0770983558825433,0.274287875420816,0.195540216530197,0.0402702589893572,-0.0772223707755729
"icr136970",0.203197814329484,0.267523721510171,0.323125574548614,0.0633378462823338,0.0630293049324836
"icr010111",0.64398493920534,-0.301494278248608,0.395613540791744,-0.0117953801562127,-0.0856924926894574
"wa099271",0.0948254008547643,0.304548173042522,-0.0124018656239148,-0.0703402354156987,0.0278878838154538
"2537_810",0.446556125374937,0.174587603211767,-0.207746251436126,-0.000108040877766603,0.0133203739232377
"wa054821",-0.241180720107909,0.626709934936305,-0.000192817289891178,0.0686834777682978,0.213412614782466
"wa068783",0.266043914370137,0.472845202875969,-0.0863267663263604,-0.290727349003493,0.10578030404958
"wa047663",0.0829542954073933,0.667563610336376,-0.00192389683433551,-0.0794360518803833,0.199937543249751
"icr071995",0.101309866240917,0.293742096631124,-0.189679397294767,-0.0678572424569282,0.113188730994653
"icr143309",0.759567175880979,0.155686105790719,-0.611924208678722,0.376886385315657,-0.102912062432864
"tncuws06afx81",0.209518126885537,0.319250604771348,0.181144295873693,0.117391348885528,-0.112660775920898
"2458_3767",0.335721876004249,-0.2517945767345,0.263198994102243,-0.0312858278779166,-0.156166144983886
"131855xd0",0.537782920890109,0.179478727618764,-0.683409770039164,0.513873740355746,-0.137050466341221
"1450_3894",0.251983393726148,-0.306317806667183,0.0803078885719298,0.127499779352676,-0.160691244188547
"1212_8059",0.508460953354826,0.296183837519467,0.0773965031132356,0.0710187196576736,0.00504480044235518
